,target_date,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystsEstimatedEps,tracking_date,symbol
0,2026-12-01,6.15637,6.20209,6.13205,8,2024-08-24,ADBE
1,2026-08-31,5.93003,5.97407,5.9066,8,2024-08-24,ADBE
2,2026-05-31,5.787,5.82998,5.76414,12,2024-08-24,ADBE
3,2026-03-01,5.65365,5.69564,5.63131,14,2024-08-24,ADBE
4,2025-12-01,5.35206,5.39181,5.33092,18,2024-08-24,ADBE
5,2025-08-31,5.15329,5.19156,5.13293,9,2024-08-24,ADBE
6,2025-05-31,5.06319,5.10079,5.04319,9,2024-08-24,ADBE
7,2025-03-01,4.97315,5.01008,4.9535,9,2024-08-24,ADBE
8,2024-12-01,4.66518,4.69983,4.64675,11,2024-08-24,ADBE
9,2024-08-31,4.53086,4.55086,4.51086,19,2024-08-24,ADBE
10,2024-05-31,4.38996,4.42256,4.37262,8,2024-08-24,ADBE
11,2024-03-01,4.37748,4.40999,4.36019,8,2024-08-24,ADBE
12,2023-12-01,4.13424,4.15426,4.11422,19,2024-08-24,ADBE
13,2023-08-31,3.97872,4.00827,3.963,9,2024-08-24,ADBE
14,2023-05-31,3.78991,3.81806,3.77494,13,2024-08-24,ADBE
15,2023-03-01,3.68003,3.70736,3.66549,15,2024-08-24,ADBE
16,2022-12-01,3.50205,3.52806,3.48821,9,2024-08-24,ADBE
17,2022-08-31,3.34511,3.36995,3.33189,9,2024-08-24,ADBE
18,2022-05-31,1.15462,1.16165,1.14953,9,2024-08-24,ADBE
19,2022-03-01,1.42856,1.461,1.41863,7,2024-08-24,ADBE
20,2021-12-01,1.89154,1.93449,1.87839,6,2024-08-24,ADBE
21,2021-08-30,1.24531,1.27359,1.23665,9,2024-08-24,ADBE
22,2021-05-30,1.01123,1.03419,1.0042,6,2024-08-24,ADBE
23,2021-03-01,2.41,2.89,1.93,14,2024-08-24,ADBE
24,2020-12-01,1.98,2.38,1.58,9,2024-08-24,ADBE
25,2020-08-30,2.25,2.7,1.8,20,2024-08-24,ADBE
26,2020-05-30,2.21,2.65,1.77,19,2024-08-24,ADBE
27,2020-03-01,2.19,2.63,1.75,10,2024-08-24,ADBE
28,2019-12-01,2.23,2.68,1.78,13,2024-08-24,ADBE
29,2019-08-30,1.89,2.27,1.51,10,2024-08-24,ADBE
30,2019-05-30,1.73,2.08,1.38,12,2024-08-24,ADBE
31,2018-12-01,1.93,2.32,1.54,11,2024-08-24,ADBE
32,2018-08-30,1.65,1.98,1.32,10,2024-08-24,ADBE
33,2015-12-01,0.58,0.7,0.46,19,2024-08-24,ADBE
34,2015-08-30,0.46,0.55,0.37,19,2024-08-24,ADBE
35,2015-05-30,0.42,0.5,0.34,16,2024-08-24,ADBE
36,2015-03-01,0.34,0.41,0.27,13,2024-08-24,ADBE
37,2014-12-01,0.24,0.29,0.19,15,2024-08-24,ADBE
38,2014-08-30,0.24,0.29,0.19,16,2024-08-24,ADBE
39,2014-05-30,0.23,0.28,0.18,11,2024-08-24,ADBE
40,2014-03-01,0.2,0.24,0.16,13,2024-08-24,ADBE
41,2013-12-01,0.32,0.38,0.26,20,2024-08-24,ADBE
42,2013-08-30,0.36,0.43,0.29,20,2024-08-24,ADBE
43,2013-05-30,0.32,0.38,0.26,7,2024-08-24,ADBE
44,2012-12-01,0.53,0.64,0.42,9,2024-08-24,ADBE
45,2012-08-30,0.58,0.7,0.46,10,2024-08-24,ADBE
46,2009-12-01,0.35,0.42,0.28,14,2024-08-24,ADBE
47,2009-08-30,0.33,0.4,0.26,7,2024-08-24,ADBE
48,2009-05-30,0.35,0.42,0.28,13,2024-08-24,ADBE
49,2009-03-01,0.43,0.52,0.34,16,2024-08-24,ADBE
50,2008-12-01,0.56,0.67,0.45,17,2024-08-24,ADBE
51,2008-08-30,0.42,0.5,0.34,10,2024-08-24,ADBE
52,2008-05-30,0.42,0.5,0.34,8,2024-08-24,ADBE
53,2008-03-01,0.42,0.5,0.34,16,2024-08-24,ADBE
54,2007-12-01,0.47,0.56,0.38,9,2024-08-24,ADBE
55,2007-08-30,0.37,0.44,0.3,15,2024-08-24,ADBE
56,2003-12-01,0.15,0.18,0.12,14,2024-08-24,ADBE
57,2003-08-30,0.1,0.12,0.08,7,2024-08-24,ADBE
58,2003-05-30,0.12,0.14,0.1,13,2024-08-24,ADBE
59,2003-03-01,0.09,0.11,0.07,17,2024-08-24,ADBE
60,2002-12-01,0.09,0.11,0.07,12,2024-08-24,ADBE
61,2002-08-30,0.09,0.11,0.07,12,2024-08-24,ADBE
62,2002-05-30,0.12,0.14,0.1,13,2024-08-24,ADBE
63,2001-12-01,0.12,0.14,0.1,11,2024-08-24,ADBE
64,2001-08-30,0.14,0.17,0.11,8,2024-08-24,ADBE
65,1998-12-01,0.06,0.07,0.05,8,2024-08-24,ADBE
66,1998-08-30,0.03,0.04,0.02,7,2024-08-24,ADBE
67,1998-05-30,0.05,0.06,0.04,9,2024-08-24,ADBE
68,1998-03-01,0.08,0.1,0.06,17,2024-08-24,ADBE
69,1997-12-01,0.07,0.08,0.06,8,2024-08-24,ADBE
70,1997-08-30,0.05,0.06,0.04,17,2024-08-24,ADBE
71,1997-05-30,0.07,0.08,0.06,13,2024-08-24,ADBE
72,1997-03-01,0.04,0.05,0.03,14,2024-08-24,ADBE
73,1996-12-01,0.06,0.07,0.05,10,2024-08-24,ADBE
